,Unnamed: 0,DICE,FN,FP,IoU,TN,TP,n_pred,n_ref,prediction_file,reference_file,challenge_DICE,challenge_FP,challenge_FN,num_pred_conn_comps,num_gt_conn_comps
537,537,,0,0,,54720000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9c36b318e8_11042006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9c36b318e8_11042006.nii.gz,,0.0,0.0,0,0
538,538,0.0,0,6,0.0,99039994,0,6,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9c68e484a7_08142003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9c68e484a7_08142003.nii.gz,0.0,0.074646125793457,0.0,2,0
539,539,0.9090686274509804,141,2085,0.8332958885643675,45426647,11127,13212,11268,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9c8842d12e_01252004.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9c8842d12e_01252004.nii.gz,0.9090686274509804,2.6499374656677244,0.0497640838623046,13,10
540,540,0.7297612732095491,3318,1776,0.5745071834279987,52148028,6878,8654,10196,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9c9a347388_09092000.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9c9a347388_09092000.nii.gz,0.7297612732095491,11.08494968032837,5.187905742645263,7,6
541,541,0.0,0,8,0.0,52159992,0,8,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9d6e9223cc_11162002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9d6e9223cc_11162002.nii.gz,0.0,0.0995281677246093,0.0,3,0
542,542,0.0,0,1190,0.0,52158810,0,1190,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9d97ac5d4d_12122004.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9d97ac5d4d_12122004.nii.gz,0.0,14.804814949035643,0.0,5,0
543,543,0.4742906148625974,13863,236,0.3108656337064372,52139541,6360,6596,20223,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9da159b835_03232002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9da159b835_03232002.nii.gz,0.4742906148625974,0.0870871467590332,79.39859580230713,12,21
544,544,0.0,0,3975,0.0,52156025,0,3975,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9e864bb710_09142003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9e864bb710_09142003.nii.gz,0.0,49.453058338165285,0.0,13,0
545,545,0.9522539232644897,1483,3099,0.9088594502128337,52109726,45692,48791,47175,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9f206193d3_04072003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9f206193d3_04072003.nii.gz,0.9522539232644897,0.4851998176574706,0.4229947128295898,25,26
546,546,0.0,0,1,0.0,52159999,0,1,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9f206193d3_08042003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9f206193d3_08042003.nii.gz,0.0,0.0124410209655761,0.0,1,0
