,image,DICE,challenge_FP,challenge_FN
234,PETCT_65a1330e90_06162001.nii.gz,0.6916011463002425,0.0,2.6550000000000002
235,PETCT_5c55b3087d_12112000.nii.gz,0.839481555333998,4.838,1.0190000000000001
236,PETCT_d4b2ff9721_12162001.nii.gz,0.667753393995426,0.02,12.682
237,PETCT_2428b44e92_03222007.nii.gz,,0.0,0.0
238,PETCT_b258dfa7c2_12152002.nii.gz,0.6128545168067226,1.7870000000000001,1.0110000000000001
239,PETCT_b926177c87_10102004.nii.gz,0.0,0.053,0.0
240,PETCT_23ed525e82_08012003.nii.gz,0.37894736842105264,0.059000000000000004,0.05
241,PETCT_5bd311a5e9_09122005.nii.gz,,0.0,0.0
242,PETCT_c58477f3b4_12072002.nii.gz,0.28308823529411764,0.0,1.609
243,PETCT_2f7200f771_11052005.nii.gz,0.8609872150275146,0.028,0.218
244,PETCT_9521502dbb_05172007.nii.gz,0.7438043656655178,0.0,1.311
245,PETCT_30287f520f_11232003.nii.gz,0.0,0.502,0.0
246,PETCT_556b56485a_08292003.nii.gz,0.9733131746422419,0.0,0.002
247,PETCT_63508c679d_02172005.nii.gz,0.927856970282677,0.418,0.0
248,PETCT_8b74860ce6_03102005.nii.gz,0.8573022069954586,0.184,0.006
249,PETCT_35de69968e_10272006.nii.gz,,0.0,0.0
250,PETCT_b6fc20942c_12282001.nii.gz,0.8821469286308503,0.0,0.047
251,PETCT_80f7760f65_11142005.nii.gz,0.0,0.265,0.0
252,PETCT_802f19931c_06302002.nii.gz,0.87574931880109,0.0,0.0
253,PETCT_350e91119a_10232005.nii.gz,0.6670635865682305,0.056,0.465
254,PETCT_69606f6a25_08132006.nii.gz,,0.0,0.0
255,PETCT_ae96f738c0_09112003.nii.gz,,0.0,0.0
256,PETCT_64909533c5_04142003.nii.gz,0.9061965811965812,0.0,0.0
257,PETCT_eee2ede9ad_11242006.nii.gz,,0.0,0.0
258,PETCT_d31a5688a2_09212003.nii.gz,,0.0,0.0
259,PETCT_e52eca67d7_03132006.nii.gz,0.0,0.532,0.0
260,PETCT_3b73c2480a_10192001.nii.gz,0.8946157386102163,0.0,0.0
261,PETCT_48c70dc4a3_10202006.nii.gz,,0.0,0.0
262,PETCT_a87dda9193_01262003.nii.gz,,0.0,0.0
263,PETCT_bfd89440db_03112007.nii.gz,,0.0,0.0
264,PETCT_ea0fd89f0f_10252003.nii.gz,0.8897182882560458,0.0,0.265
265,PETCT_60baa6979c_08162003.nii.gz,0.7899179095849231,0.02,0.038
266,PETCT_bd7c02faa9_05042002.nii.gz,0.8352460984393757,0.031,0.272
267,PETCT_c852dfc0a5_07262002.nii.gz,0.0,0.062,0.0
268,PETCT_8fea5f0537_09262005.nii.gz,,0.0,0.0
269,PETCT_e664932bbc_06092007.nii.gz,0.0,0.195,0.0
270,PETCT_86153b2974_03192006.nii.gz,0.0,0.394,0.0
271,PETCT_b42adab18e_09052003.nii.gz,0.0,0.024,0.0
272,PETCT_e2834e6f5c_06142002.nii.gz,0.769062525630861,0.177,0.5680000000000001
273,PETCT_49479d6e64_06072002.nii.gz,0.895644283121597,0.275,0.055
274,PETCT_4481687483_10172003.nii.gz,0.0,0.06,0.0
275,PETCT_1781ba966c_08082002.nii.gz,0.0,0.037,0.0
276,PETCT_08198c4f0c_11102005.nii.gz,,0.0,0.0
277,PETCT_06a46414eb_03122006.nii.gz,0.8518859245630175,0.029,0.0
278,PETCT_1253499c80_10072005.nii.gz,0.9155480984340044,0.292,0.0
279,PETCT_8f2878df50_08222002.nii.gz,0.8231481481481482,0.0,0.052000000000000005
280,PETCT_cbbc9e2879_08062006.nii.gz,0.0,0.029,0.0
281,PETCT_f21755a99b_05052005.nii.gz,0.9099485049115064,0.025,0.035
282,PETCT_b6a1ee33ef_10242005.nii.gz,0.7622969572180279,0.431,0.0
283,PETCT_9a2bfe901f_08062005.nii.gz,,0.0,0.0
284,PETCT_1a1712f7d0_02162007.nii.gz,0.9416103257529195,0.0,0.0
285,PETCT_5060603ba4_09192003.nii.gz,0.51953125,0.08,0.157
286,PETCT_07574bfa00_04202003.nii.gz,0.9214155504478085,0.055,0.027
287,PETCT_c29aba73da_08232002.nii.gz,0.720701581027668,0.0,0.41100000000000003
288,PETCT_f7a9267a69_11012002.nii.gz,0.0,0.227,0.0
289,PETCT_31ddf5013a_02222001.nii.gz,0.9461642954171731,0.0,0.0
290,PETCT_97320b0b58_04172005.nii.gz,0.946776095930804,0.322,0.082
291,PETCT_d46f0109f8_09092000.nii.gz,0.7102477130229211,0.011,4.1930000000000005
292,PETCT_b4e5c1047c_10102004.nii.gz,,0.0,0.0
293,PETCT_98cd91d44e_09062003.nii.gz,,0.0,0.0
294,PETCT_5c35fcbe89_08102002.nii.gz,0.8147465437788018,0.0,0.0
295,PETCT_274688d0a8_03242007.nii.gz,0.0,0.169,0.0
296,PETCT_389c968170_08192005.nii.gz,,0.0,0.0
297,PETCT_96e7a3ab28_06142007.nii.gz,0.0,0.063,0.0
298,PETCT_ae6a37a9d6_02182006.nii.gz,0.0,0.082,0.0
299,PETCT_eafa147e24_04182005.nii.gz,0.7941555651052857,0.092,0.0
300,PETCT_36bb0257fc_08032003.nii.gz,0.09544626593806922,0.0,12.095
301,PETCT_19838cb8e5_07292002.nii.gz,0.4909131702939197,0.0,0.197
302,PETCT_e03b96666f_05172001.nii.gz,0.8044562742734699,0.0,3.102
303,PETCT_b0e002e974_04022005.nii.gz,,0.0,0.0
304,PETCT_4be28f9cd7_02032002.nii.gz,0.7442955450923578,0.191,0.056
305,PETCT_d4d3d7dfc1_09122005.nii.gz,0.0,0.107,0.0
306,PETCT_61d5bc58fc_06232006.nii.gz,0.0,0.049,0.0
307,PETCT_6efefcb92a_03262005.nii.gz,0.7641325536062378,0.10200000000000001,0.02
308,PETCT_e9feb1135e_07012005.nii.gz,0.0,2.601,0.0
309,PETCT_9abb9583ec_05302002.nii.gz,0.8180473372781065,0.0,0.028
310,PETCT_956520090b_11012003.nii.gz,,0.0,0.0
311,PETCT_3c3050f75e_09052002.nii.gz,0.9310344827586207,0.0,0.0
